from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
PVG,China,TPE,Taiwan,Airbus A330,CZ,[China Southern],CZ3095,2022-05-15 14:30:00,2022-05-15 16:35:00,125,0,165.00,USD,106000,109000,-3%,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321 (Sharklets),3U,[Sichuan Airlines],3U8920,2022-07-29 09:00:00,2022-07-29 11:55:00,175,0,208.00,USD,186000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU6172,2022-07-29 13:15:00,2022-07-29 16:05:00,170,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU5496,2022-07-29 20:30:00,2022-07-29 23:30:00,180,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU6092,2022-07-29 23:00:00,2022-07-30 01:50:00,170,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,3U,[Sichuan Airlines],3U8912,2022-07-29 10:55:00,2022-07-29 13:55:00,180,0,485.00,USD,150000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A330,CA,[Air China],CA4520,2022-07-29 10:55:00,2022-07-29 14:05:00,190,0,,USD,160000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,EU,[Chengdu Airlines],EU2260,2022-07-29 20:45:00,2022-07-29 23:55:00,190,0,,USD,166000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,3U,[Sichuan Airlines],3U8918,2022-07-29 19:05:00,2022-07-29 22:05:00,180,0,485.00,USD,150000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,3U,[Sichuan Airlines],3U8922,2022-07-29 20:00:00,2022-07-29 23:05:00,185,0,485.00,USD,183000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,CA,[Air China],CA1741,2022-07-29 07:45:00,2022-07-29 10:35:00,170,0,,USD,189000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8513,2022-07-29 08:55:00,2022-07-29 11:55:00,180,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA1779,2022-07-29 15:10:00,2022-07-29 18:05:00,175,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8581,2022-07-29 18:30:00,2022-07-29 21:35:00,185,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A330,CA,[Air China],CA4534,2022-07-29 22:30:00,2022-07-30 01:35:00,185,0,,USD,160000,,,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Airbus A330,CZ,[China Southern],CZ3095,2022-05-30 14:30:00,2022-05-30 16:35:00,125,0,165.00,USD,106000,109000,-3%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Airbus A330,MU,[China Eastern],MU5007,2022-05-30 12:25:00,2022-05-30 14:25:00,120,0,188.00,USD,96000,109000,-12%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,CI,[China Airlines],CI502,2022-05-30 12:05:00,2022-05-30 14:15:00,130,0,431.00,USD,109000,109000,0%,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321 (Sharklets),3U,[Sichuan Airlines],3U8920,2022-08-28 09:00:00,2022-08-28 11:55:00,175,0,208.00,USD,186000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU6172,2022-08-28 13:15:00,2022-08-28 16:05:00,170,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU5496,2022-08-28 20:30:00,2022-08-28 23:30:00,180,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A330,CA,[Air China],CA4520,2022-08-28 10:55:00,2022-08-28 14:05:00,190,0,,USD,160000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,EU,[Chengdu Airlines],EU2260,2022-08-28 20:45:00,2022-08-28 23:55:00,190,0,,USD,166000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU6092,2022-08-28 21:30:00,2022-08-29 00:25:00,175,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,3U,[Sichuan Airlines],3U8912,2022-08-28 10:55:00,2022-08-28 13:55:00,180,0,485.00,USD,150000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,3U,[Sichuan Airlines],3U8918,2022-08-28 19:05:00,2022-08-28 22:05:00,180,0,485.00,USD,150000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,3U,[Sichuan Airlines],3U8922,2022-08-28 20:00:00,2022-08-28 23:05:00,185,0,485.00,USD,183000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,CA,[Air China],CA1741,2022-08-28 07:45:00,2022-08-28 10:35:00,170,0,,USD,189000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8513,2022-08-28 08:55:00,2022-08-28 11:55:00,180,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA1779,2022-08-28 15:10:00,2022-08-28 18:05:00,175,0,,USD,200000,,,2022-04-29 17:52:59
